,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,year,month
0,12.309982108920686,3,1.0,1180,8.639410824140487,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,8.639410824140487,2014,10
1,13.195613839143922,3,2.25,2570,8.887652690325586,2.0,0,0,3,7,2170,400,1951,1,98125,47.721000000000004,-122.319,1690,8.94102198354136,2014,12
2,12.100712129872347,2,1.0,770,9.210340371976184,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.23299999999999,2720,8.994916943677111,2015,02
3,13.311329476916953,4,3.0,1960,8.517193191416238,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.39299999999999,1360,8.517193191416238,2014,12
4,13.142166004700508,3,2.0,1680,8.997147151515142,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,8.923058219545728,2015,02
5,14.018451401960965,4,4.5,5420,11.532041582162458,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,11.532041582162458,2014,05
6,12.458774999085929,3,2.25,1715,8.827468112520654,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.32700000000001,2238,8.827468112520654,2014,06
7,12.583995250631936,3,1.5,1060,9.181014542594355,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9.181014542594355,2015,01
8,12.343658308482738,3,1.0,1780,8.918650278126863,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,9.001222992395064,2015,04
9,12.685407602204794,3,2.5,1890,8.788745881938135,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,8.931948346431495,2015,03
10,13.403775836842515,3,2.5,3560,9.189729418072059,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,9.09661160664784,2015,04
11,13.056223574899784,2,1.0,1160,8.699514748210191,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,8.699514748210191,2014,05
12,12.644327576461329,3,1.0,1430,9.898525260706313,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,9.449121024069791,2014,05
13,12.89921982609012,3,1.75,1370,9.177817180270623,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,9.23092700558457,2014,10
14,13.180632285528304,5,2.0,1810,8.48673398393153,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.39399999999999,1360,8.48673398393153,2015,03
15,13.38472764187182,4,3.0,2950,8.517193191416238,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,8.294049640102028,2015,01
16,12.886641043883259,3,2.0,1890,9.549665677579801,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,9.54809749706027,2014,07
17,13.091904169919621,4,1.0,1600,8.366370301681654,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.34299999999999,1610,8.366370301681654,2014,05
18,12.14950229404178,2,1.0,1200,9.195226734166134,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,8.536014945656826,2014,12
19,12.345834587905333,3,1.0,1250,9.1874810778301,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,9.088172738001974,2015,04
20,12.86099861326992,4,1.75,1620,8.513185170018698,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.34100000000001,1400,8.513185170018698,2014,05
21,14.508657738524219,3,2.75,3050,10.711457836917562,1.0,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.23299999999999,4110,9.920147993429236,2014,08
22,12.560244459250788,5,2.5,2270,8.748304912379623,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,8.854379458771108,2014,07
23,12.439958293376286,2,1.5,1070,9.173987542510384,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,9.034318927730707,2014,05
24,12.70381302974751,3,2.25,2450,8.779557455883728,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.17200000000001,2200,8.834191318202071,2014,11
25,12.358793732547838,3,2.0,1710,8.454679286026995,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.21799999999999,1030,8.45638105201948,2014,11
26,13.750438561220559,3,1.75,2450,7.897668150726906,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,8.181160858023409,2014,06
27,13.410545324897761,3,1.0,1400,7.365812837209472,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,8.258681496264236,2014,12
28,12.989974189358584,3,1.75,1520,8.760923376338836,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,8.737933858114136,2014,06
29,13.485616636703183,4,2.5,2570,8.878079256126435,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,8.703838719690246,2015,03
30,13.271645080120082,3,2.5,2320,8.289037098278483,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,8.289037098278483,2014,11
31,12.542544882151386,2,1.5,1190,7.142827401161621,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.35700000000001,1390,7.470793774195062,2014,12
32,13.440817108522863,4,1.75,2330,8.517193191416238,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,8.517193191416238,2014,06
